Input campaigns here	"Campaign=39-327485648, locale=en_US"
Action	Status	Campaign	Budget	Budget ID	Network	Delivery method	Start date	End date	Ad rotation	Frequency cap	Mobile bid modifier	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Impression share (Ignored)	Lost IS (budget) (Ignored)	Lost IS (rank) (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	waaaa (39-327485648)	5	38-392254568	YouTube Videos	Standard	 2015-7-2 (already started)	#n/a	Optimize for views	#n/a	0%	0	0	0	0	 	0.00%	Php0.00	Php0.00	0	0.00%	Php0.00	 	 	 	 	 	 	 	 	 	 	0%	0%	0%	0%	 	 	 	0	0	0	0	0


Input ads here	"Campaign=39-327485648, locale=en_US"
Action	Status	Ad	Video id	Thumbnail	Headline	Description line one	Description line two	Display Url	Destination Url	Final Url	Tracking template	Custom parameter	YouTube destination	Showing on	Companion banner	Enable ad for	Video (Ignored)	Campaign	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	Scrapbooking Ideas 1 (43-240164768)	 TPSRQmiBImU	#n/a	#n/a	#n/a	#n/a	www.newscrapbookingideas.com	http://newscrapbookingideas.com	#n/a	#n/a	#n/a	#n/a	In-stream	#n/a	"creating keepsakes mag - Group 1 (42-240164528), creating keepsakes mag - Group 2 (42-240164648)"	Scrapbooking Ideas 1	waaaa (39-327485648)	0	0	0	0	 	0.00%	Php0.00	Php0.00	0	0.00%	Php0.00	 	 	 	 	 	 	 	 	 	 	0%	0%	0%	0%	0	0	0	0	0


Input targeting groups here	"Campaign=39-327485648, locale=en_US"
Action	Status	Targeting group	Campaign	Max CPV	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Engagements (Ignored)	Engagement rate (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Impression share (Ignored)	Lost IS (budget) (Ignored)	Lost IS (rank) (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	creating keepsakes mag - Group 1 (42-240164528)	waaaa (39-327485648)	Php0.10	0	0	0	0	 	0.00%	Php0.00	Php0.00	0	0.00%	Php0.00	 	 	 	 	 	 	 	 	 	 	0	0.00%	0%	0%	0%	0%	 	 	 	0	0	0	0	0
	Enabled	creating keepsakes mag - Group 2 (42-240164648)	waaaa (39-327485648)	Php0.10	0	0	0	0	 	0.00%	Php0.00	Php0.00	0	0.00%	Php0.00	 	 	 	 	 	 	 	 	 	 	0	0.00%	0%	0%	0%	0%	 	 	 	0	0	0	0	0


Input targets here	"Campaign=39-327485648, locale=en_US"
Action	Type	Status	Target	Targeting group	Max CPV	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)
	Age	Enabled	18 - 24 (1-503001)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	18 - 24 (1-503001)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	25 - 34 (1-503002)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	25 - 34 (1-503002)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	35 - 44 (1-503003)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	35 - 44 (1-503003)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	45 - 54 (1-503004)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	45 - 54 (1-503004)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	55 - 64 (1-503005)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	55 - 64 (1-503005)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	65+ (1-503006)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	65+ (1-503006)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	Unknown (1-503999)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	Age	Enabled	Unknown (1-503999)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Sizzix Bigz Bow Create a BOW by Sizzix (youtube.com/video/_1KjDvXajY8) (10-143503679339)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Sizzix Bigz Bow Create a BOW by Sizzix (youtube.com/video/_1KjDvXajY8) (10-143503679339)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	How to make Graphic 45 Mini Album using only 2 Sheets of Paper (youtube.com/video/_8PYKCgHMxA) (10-143503679579)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	How to make Graphic 45 Mini Album using only 2 Sheets of Paper (youtube.com/video/_8PYKCgHMxA) (10-143503679579)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Card Making: St  Patricks Day Card Ideas Using Echo Park Mini Theme Kit (youtube.com/video/_avmYbr5Ils) (10-143503681739)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Card Making: St  Patricks Day Card Ideas Using Echo Park Mini Theme Kit (youtube.com/video/_avmYbr5Ils) (10-143503681739)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Heartfelt Creations Season of Joy Collection (youtube.com/video/_brAb1RGyAU) (10-143503681979)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Heartfelt Creations Season of Joy Collection (youtube.com/video/_brAb1RGyAU) (10-143503681979)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	How to Use Sizzix Thinlits Rose Flower Die 658411 (youtube.com/video/_e2S22_G5Qw) (10-143503682219)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	How to Use Sizzix Thinlits Rose Flower Die 658411 (youtube.com/video/_e2S22_G5Qw) (10-143503682219)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Sizzix Where Women Cook Preview by Jo Packham (youtube.com/video/_GkdMlQBRq4) (10-143503680059)	creating keepsakes mag - Group 1 (42-240164528)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
	YouTube video	Enabled	Sizzix Where Women Cook Preview by Jo Packham (youtube.com/video/_GkdMlQBRq4) (10-143503680059)	creating keepsakes mag - Group 2 (42-240164648)	#n/a	0	0	0	0	0.00%	Php0.00	Php0.00
