Input campaigns here	"Campaign=39-277599059, locale=en_AU"
Action	Status	Campaign	Budget	Budget ID	Network	Delivery method	Start date	End date	Ad rotation	Frequency cap	Mobile bid modifier	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Impression share (Ignored)	Lost IS (Budget) (Ignored)	Lost IS (Rank) (Ignored)	Converted views (Ignored)	Cost / converted view (Ignored)	View conversion rate (Ignored)	View-through Conv. (Ignored)	Conversions (Ignored)	Cost / conv. (Ignored)	Conv. rate (Ignored)	Total conv. value (Ignored)	Value / converted view (Ignored)	Value / conv. (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	151 Tips Renee New Channel Groups (39-277599059)	30	38-369984299	YouTube Videos	Standard	 2015-6-11 (already started)	#n/a	Optimise for views	#n/a	0%	0	"5,579"	"5,579"	858	120	15.38%	$0.15	$131.53	39	0.70%	$23.58	627	69	26	8	2	2	0	0	8.898	7.15	35%	19%	10%	6%	86.01%	< 10%	12.21%	19	$6.92	2.21%	6	22	$5.98	2.56%	0	0	0	0	0	0	0	0


Input ads here	"Campaign=39-277599059, locale=en_AU"
Action	Status	Ad	Video id	Thumbnail	Headline	Description line one	Description line two	Display URL	Destination URL	Final URL	Tracking template	Custom parameter	YouTube destination	Showing on	Companion banner	Enable ad for	Video (Ignored)	Campaign	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Converted views (Ignored)	Cost / converted view (Ignored)	View conversion rate (Ignored)	View-through Conv. (Ignored)	Conversions (Ignored)	Cost / conv. (Ignored)	Conv. rate (Ignored)	Total conv. value (Ignored)	Value / converted view (Ignored)	Value / conv. (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	Scrapbooking Ideas 1 (43-231955259)	 TPSRQmiBImU	#n/a	#n/a	#n/a	#n/a	www.newscrapbookingideas.com	#n/a	http://www.newscrapbookingideas.com	#n/a	#n/a	#n/a	In-stream	#n/a	151 Tips Renee New Channel Groups_TG0 (42-231954899)	Scrapbooking Ideas 1	151 Tips Renee New Channel Groups (39-277599059)	0	"2,960"	"2,960"	443	 	14.97%	$0.16	$71.16	23	0.78%	$24.04	3	0	0	0	0	0	0	0	986.667	 	35%	19%	10%	6%	13	$5.47	2.93%	1	16	$4.45	3.61%	0	0	0	0	0	0	0	0
	Enabled	Scrapbooking Ideas 1 (43-231955139)	 TPSRQmiBImU	#n/a	#n/a	#n/a	#n/a	www.newscrapbookingideas.com	#n/a	http://www.newscrapbookingideas.com	#n/a	#n/a	#n/a	In-stream	#n/a	151 Tips Renee New Channel Groups_TG1 (42-231954779)	Scrapbooking Ideas 1	151 Tips Renee New Channel Groups (39-277599059)	0	"2,595"	"2,595"	410	120	15.80%	$0.14	$59.42	16	0.62%	$22.90	624	69	26	8	2	2	0	0	4.159	3.417	35%	20%	11%	6%	6	$9.90	1.46%	5	6	$9.90	1.46%	0	0	0	0	0	0	0	0
	Enabled	Scrapbooking Ideas 1 (43-231955019)	 TPSRQmiBImU	#n/a	#n/a	#n/a	#n/a	www.newscrapbookingideas.com	#n/a	http://www.newscrapbookingideas.com	#n/a	#n/a	#n/a	In-stream	#n/a	151 Tips Renee New Channel Groups_TG2 (42-231954659)	Scrapbooking Ideas 1	151 Tips Renee New Channel Groups (39-277599059)	0	24	24	5	 	20.83%	$0.19	$0.95	0	0.00%	$39.58	 	 	 	 	 	 	 	 	 	 	38%	21%	4%	4%	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0	0	0	0	0	0


Input targeting groups here	"Campaign=39-277599059, locale=en_AU"
Action	Status	Targeting group	Campaign	Max CPV	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	Unique viewers (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Clicks (Ignored)	CTR (Ignored)	Avg. CPM (Ignored)	Reach per freq. 1+ (Ignored)	Reach per freq. 2+ (Ignored)	Reach per freq. 3+ (Ignored)	Reach per freq. 4+ (Ignored)	Reach per freq. 5+ (Ignored)	Reach per freq. 6+ (Ignored)	Reach per freq. 7+ (Ignored)	Reach per freq. 8+ (Ignored)	Avg. impr. freq. (Ignored)	Avg. view freq. (Ignored)	Engagements (Ignored)	Engagement rate (Ignored)	Video played to: 25% (Ignored)	Video played to: 50% (Ignored)	Video played to: 75% (Ignored)	Video played to: 100% (Ignored)	Impression share (Ignored)	Lost IS (Budget) (Ignored)	Lost IS (Rank) (Ignored)	Converted views (Ignored)	Cost / converted view (Ignored)	View conversion rate (Ignored)	View-through Conv. (Ignored)	Conversions (Ignored)	Cost / conv. (Ignored)	Conv. rate (Ignored)	Total conv. value (Ignored)	Value / converted view (Ignored)	Value / conv. (Ignored)	Earned views (Ignored)	Earned subscribers (Ignored)	Earned playlist additions (Ignored)	Earned likes (Ignored)	Earned shares (Ignored)
	Enabled	151 Tips Renee New Channel Groups_TG2 (42-231954659)	151 Tips Renee New Channel Groups (39-277599059)	$0.30	0	24	24	5	 	20.83%	$0.19	$0.95	0	0.00%	$39.58	 	 	 	 	 	 	 	 	 	 	0	0.00%	38%	21%	4%	4%	 	 	 	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0	0	0	0	0	0
	Enabled	151 Tips Renee New Channel Groups_TG1 (42-231954779)	151 Tips Renee New Channel Groups (39-277599059)	$0.40	0	"2,595"	"2,595"	410	120	15.80%	$0.14	$59.42	16	0.62%	$22.90	624	69	26	8	2	2	0	0	4.159	3.417	0	0.00%	35%	20%	11%	6%	 	 	 	6	$9.90	1.46%	5	6	$9.90	1.46%	0	0	0	0	0	0	0	0
	Enabled	151 Tips Renee New Channel Groups_TG0 (42-231954899)	151 Tips Renee New Channel Groups (39-277599059)	$0.40	0	"2,960"	"2,960"	443	 	14.97%	$0.16	$71.16	23	0.78%	$24.04	3	0	0	0	0	0	0	0	986.667	 	0	0.00%	35%	19%	10%	6%	 	 	 	13	$5.47	2.93%	1	16	$4.45	3.61%	0	0	0	0	0	0	0	0


Input targets here	"Campaign=39-277599059, locale=en_AU"
Action	Type	Status	Target	Targeting group	Max CPV	Impressions Thumbnail (Ignored)	Impressions Video (Ignored)	Impressions (Ignored)	Views (Ignored)	View rate (Ignored)	Avg. CPV (Ignored)	Total cost (Ignored)	Converted views (Ignored)	Cost / converted view (Ignored)	View conversion rate (Ignored)	View-through Conv. (Ignored)	Conversions (Ignored)	Cost / conv. (Ignored)	Conv. rate (Ignored)	Total conv. value (Ignored)	Value / converted view (Ignored)	Value / conv. (Ignored)
	Age	Enabled	55 - 64 (1-503005)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	809	809	147	18.17%	$0.16	$24.12	4	$6.03	2.72%	0	4	$6.03	2.72%	0	0	0
	Age	Enabled	55 - 64 (1-503005)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	831	831	140	16.85%	$0.15	$20.40	2	$10.20	1.43%	3	2	$10.20	1.43%	0	0	0
	Age	Enabled	Unknown (1-503999)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	992	992	129	13.00%	$0.13	$16.81	4	$4.20	3.10%	0	5	$3.36	3.88%	0	0	0
	Age	Enabled	Unknown (1-503999)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	858	858	123	14.34%	$0.11	$13.38	2	$6.69	1.63%	1	2	$6.69	1.63%	0	0	0
	Age	Enabled	45 - 54 (1-503004)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	558	558	103	18.46%	$0.17	$17.50	2	$8.75	1.94%	1	2	$8.75	1.94%	0	0	0
	Age	Enabled	45 - 54 (1-503004)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	501	501	92	18.36%	$0.17	$15.84	3	$5.28	3.26%	1	5	$3.17	5.43%	0	0	0
	Age	Enabled	35 - 44 (1-503003)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	341	341	45	13.20%	$0.19	$8.54	2	$4.27	4.44%	0	2	$4.27	4.44%	0	0	0
	Age	Enabled	25 - 34 (1-503002)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	317	317	30	9.46%	$0.20	$5.85	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	25 - 34 (1-503002)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	280	280	29	10.36%	$0.19	$5.59	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	65+ (1-503006)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	52	52	12	23.08%	$0.16	$1.94	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	35 - 44 (1-503003)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	16	16	3	18.75%	$0.20	$0.61	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	55 - 64 (1-503005)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	13	13	3	23.08%	$0.17	$0.50	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	25 - 34 (1-503002)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	1	1	1	100.00%	$0.21	$0.21	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	35 - 44 (1-503003)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	1	1	1	100.00%	$0.24	$0.24	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	18 - 24 (1-503001)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	0	0	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	18 - 24 (1-503001)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	0	0	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	18 - 24 (1-503001)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	0	0	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	45 - 54 (1-503004)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	1	1	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	65+ (1-503006)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	0	0	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Paused	65+ (1-503006)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	0	0	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	Age	Enabled	Unknown (1-503999)	151 Tips Renee New Channel Groups_TG2 (42-231954659)	#n/a	0	8	8	0	0.00%	$0.00	$0.00	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Cricut Explore - How to Import an SVG file into Cricut Design Space (youtube.com/video/B7VK06qKekI) (10-143668551419)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	63	63	12	19.05%	$0.19	$2.24	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Craft Fair Ideas (youtube.com/video/niHpXPm1fg4) (10-122624872160)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	63	63	11	17.46%	$0.14	$1.55	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	How to write using the Cricut Explore - Tutorial (youtube.com/video/p5pD13UrgYQ) (10-134928270320)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	52	52	10	19.23%	$0.18	$1.78	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Book Treasure Box Tutorial (youtube.com/video/vQ8ks-OmRGs) (10-143500243739)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	38	38	9	23.68%	$0.13	$1.18	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Enabled	Washi Tape Storage (youtube.com/video/YpLyWa-5z2c) (10-143499985019)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	33	33	9	27.27%	$0.11	$0.97	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Enabled	My Scrapbook Room Tour (2013) (youtube.com/video/95IdwFNqHq4) (10-141087628565)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	36	36	8	22.22%	$0.14	$1.14	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Super Simple Mini Album Pocket Page Tutorial (youtube.com/video/BC7hF9ZIOB4) (10-141975969419)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	21	21	8	38.10%	$0.16	$1.25	1	$1.25	12.50%	0	1	$1.25	12.50%	0	0	0
	YouTube video	Paused	How to do Glass Etching with Your Silhouette Cameo (youtube.com/video/GooPI_KNd54) (10-143503592459)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	33	33	8	24.24%	$0.23	$1.84	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Clay Tile Tutorial (youtube.com/video/HrkbKYKZfI8) (10-143500241819)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	26	26	8	30.77%	$0.17	$1.34	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	Water Drop Stamp Tag Tutorial (youtube.com/video/UhIp8jc-BKU) (10-143500242539)	151 Tips Renee New Channel Groups_TG0 (42-231954899)	#n/a	0	39	39	8	20.51%	$0.18	$1.40	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
	YouTube video	Paused	TEENY TINY EMBELLISHMENT SWAP REVEAL {SHABBY GRP #1} (youtube.com/video/Z7Cyz_bV_Q8) (10-143708164619)	151 Tips Renee New Channel Groups_TG1 (42-231954779)	#n/a	0	26	26	8	30.77%	$0.13	$1.03	0	$0.00	0.00%	0	0	$0.00	0.00%	0	0	0
